timestamp,type,description
2025-09-26 08:15:05.300331,start,de
2025-09-26 08:17:10.430858,end,de
2025-09-26 08:17:31.761251,start,1
2025-09-26 08:18:19.581618,end,1
2025-09-26 08:20:07.465308,start,1
2025-09-26 08:21:04.797271,end,1
2025-09-26 08:21:37.858431,start,1
2025-09-26 08:23:23.821289,end,1
2025-09-26 08:23:46.083555,start,1
2025-09-26 08:23:51.841313,end,1
2025-09-26 08:24:45.871671,start,2
2025-09-26 08:24:49.981382,end,2
2025-09-26 08:26:17.461359,start,1
2025-09-26 08:26:45.571625,end,1
2025-09-26 08:27:14.251934,start,1
2025-09-26 08:27:19.442251,end,1
2025-09-26 08:28:24.602310,start,1
2025-09-26 08:28:26.372242,end,1
2025-09-26 11:37:41.388833,start,1
2025-09-26 11:37:47.233901,end,1
